highest_charge,incar,prob,work,counts,incar_total,prob_total,work_total
HS11350(a),45.0,1460.0,0.0,2,90.0,2920.0,0.0
HS11352(a),730.0,0.0,0.0,1,730.0,0.0,0.0
HS11359,180.0,1095.0,0.0,1,180.0,1095.0,0.0
HS11379(a),180.0,1095.0,0.0,1,180.0,1095.0,0.0
PC182(a)(1),0.0,0.0,0.0,2,0.0,0.0,0.0
PC187(a),5621.0,0.0,0.0,5,28105.0,0.0,0.0
PC187(a) - PC664,4015.0,0.0,0.0,2,8030.0,0.0,0.0
PC191.5(a),3605.7272727272725,0.0,0.0,11,39663.0,0.0,0.0
PC191.5(b),1156.0,0.0,0.0,2,2312.0,0.0,0.0
PC192(c)(1),527.3333333333334,365.0,0.0,3,1582.0,1095.0,0.0
PC207(a),1581.5,0.0,0.0,2,3163.0,0.0,0.0
PC211,1946.5,0.0,0.0,4,7786.0,0.0,0.0
PC215(a),1095.0,0.0,0.0,2,2190.0,0.0,0.0
PC243(d),365.0,1095.0,0.0,1,365.0,1095.0,0.0
PC245(a)(1),380.57894736842104,768.421052631579,3.5526315789473686,38,14462.0,29200.0,135.0
PC245(a)(4),180.0,1095.0,0.0,1,180.0,1095.0,0.0
PC245(c),1277.5,0.0,0.0,4,5110.0,0.0,0.0
PC273.5(a),1191.6,730.0,0.0,5,5958.0,3650.0,0.0
PC273a(a),426.1111111111111,770.5555555555555,1.6666666666666667,9,3835.0,6935.0,15.0
PC368(b)(1),259.0,1095.0,0.0,1,259.0,1095.0,0.0
PC459,567.6666666666666,365.0,0.0,3,1703.0,1095.0,0.0
PC484 & 490.5,1460.0,0.0,0.0,1,1460.0,0.0,0.0
PC69,180.0,1825.0,0.0,1,180.0,1825.0,0.0
VC10851(a),813.2857142857143,312.85714285714283,0.0,14,11386.0,4380.0,0.0
VC12500(a),0.0,0.0,0.0,1,0.0,0.0,0.0
VC20001(a),137.34228187919464,861.6677852348994,4.456375838926174,298,40928.00000000001,256777.00000000003,1328.0
VC20001(b)(2),294.875,764.21875,4.53125,32,9436.0,24455.0,145.0
VC23109.1(a),365.0,1095.0,0.0,1,365.0,1095.0,0.0
VC23152(a),957.3333333333334,912.5,0.0,6,5744.0,5475.0,0.0
VC23153(a),363.0372670807453,1310.3726708074535,9.996894409937887,322,116898.0,421940.0,3218.9999999999995
VC23153(b),730.0,0.0,0.0,1,730.0,0.0,0.0
VC2800.2(a),1205.764705882353,257.6470588235294,1.1764705882352942,17,20498.0,4380.0,20.0
VC2800.3(a),1551.1,584.0,3.0,10,15511.0,5840.0,30.0
